caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
250,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
251,10,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Very good,"Less than $25,000",2
252,9,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
253,9,"University certificate, diploma or degree above the bach...",NA,Very good,"Less than $25,000",0
254,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
255,5,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Fair,"Less than $25,000",0
256,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
257,8,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",1
258,NA,Less than high school diploma or its equivalent,NA,Poor,"Less than $25,000",1
259,10,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Excellent,"$100,000 to $ 124,999",1
260,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
261,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
262,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
263,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
264,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"Less than $25,000",0
265,2,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$75,000 to $99,999",2
266,10,Less than high school diploma or its equivalent,Don't know,Excellent,"Less than $25,000",1
267,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
268,5,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
269,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$100,000 to $ 124,999",3
270,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
271,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Fair,"$25,000 to $49,999",0
272,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",1
273,9,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",2
