caseid,feelings_life,education,average_hours_worked,self_rated_mental_health,income_respondent,number_marriages
2523,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",2
2524,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",50.1 hours and more,Excellent,"$125,000 and more",1
2525,5,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",0
2526,8,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",0
2527,6,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"Less than $25,000",0
2528,8,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",1
2529,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
2530,10,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",0
2531,10,Trade certificate or diploma,40.1 to 50.0 hours,Excellent,"$75,000 to $99,999",0
2532,10,University certificate or diploma below the bachelor's level,NA,Excellent,"$25,000 to $49,999",1
2533,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"Less than $25,000",1
2534,5,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$100,000 to $ 124,999",1
2535,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",2
2536,NA,High school diploma or a high school equivalency certificate,NA,Very good,"$25,000 to $49,999",1
2537,10,"University certificate, diploma or degree above the bach...",NA,Excellent,"$25,000 to $49,999",1
2538,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
2539,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
2540,8,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2541,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",0
2542,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"Less than $25,000",1
2543,5,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Excellent,"Less than $25,000",1
2544,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"Less than $25,000",0
2545,4,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",1
2546,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Fair,"$50,000 to $74,999",1
2547,9,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$50,000 to $74,999",1
2548,9,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",1
2549,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
2550,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2551,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
2552,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
2553,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$75,000 to $99,999",1
2554,10,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2555,8,NA,NA,Good,"Less than $25,000",0
2556,9,"University certificate, diploma or degree above the bach...",NA,Excellent,"$75,000 to $99,999",0
2557,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",0
2558,6,Trade certificate or diploma,40.1 to 50.0 hours,Fair,"$25,000 to $49,999",1
2559,8,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",1
2560,9,Less than high school diploma or its equivalent,40.1 to 50.0 hours,Very good,"$25,000 to $49,999",0
2561,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$50,000 to $74,999",1
2562,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
2563,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",1
2564,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,NA,"$25,000 to $49,999",1
2565,5,Trade certificate or diploma,0.1 to 29.9 hours,Good,"$25,000 to $49,999",1
2566,8,University certificate or diploma below the bachelor's level,30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
2567,10,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Very good,"$125,000 and more",2
2568,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"Less than $25,000",0
2569,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$50,000 to $74,999",0
2570,10,High school diploma or a high school equivalency certificate,50.1 hours and more,Very good,"$25,000 to $49,999",1
2571,7,Trade certificate or diploma,NA,Good,"$25,000 to $49,999",1
2572,7,High school diploma or a high school equivalency certificate,NA,Good,"$50,000 to $74,999",0
2573,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
2574,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Good,"$100,000 to $ 124,999",1
2575,6,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Poor,"Less than $25,000",0
2576,8,"College, CEGEP or other non-university certificate or di...",NA,Good,"Less than $25,000",1
2577,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$75,000 to $99,999",0
2578,10,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",0
2579,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"Less than $25,000",0
2580,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$75,000 to $99,999",2
2581,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
2582,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
2583,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"Less than $25,000",0
2584,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"Less than $25,000",1
2585,0,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Poor,"$25,000 to $49,999",0
2586,8,"University certificate, diploma or degree above the bach...",40.1 to 50.0 hours,Good,"$75,000 to $99,999",1
2587,5,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"Less than $25,000",1
2588,5,Trade certificate or diploma,NA,Good,"Less than $25,000",1
2589,8,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
2590,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",2
2591,8,Less than high school diploma or its equivalent,NA,Very good,"$25,000 to $49,999",1
2592,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
2593,9,Less than high school diploma or its equivalent,NA,Excellent,"$25,000 to $49,999",0
2594,9,NA,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2595,5,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
2596,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2597,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$50,000 to $74,999",1
2598,10,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",2
2599,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
2600,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
2601,10,High school diploma or a high school equivalency certificate,40.1 to 50.0 hours,Excellent,"$25,000 to $49,999",0
2602,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2603,10,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",0
2604,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
2605,9,High school diploma or a high school equivalency certificate,NA,Excellent,"$25,000 to $49,999",2
2606,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$25,000 to $49,999",0
2607,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"$75,000 to $99,999",1
2608,8,High school diploma or a high school equivalency certificate,50.1 hours and more,Very good,"$25,000 to $49,999",2
2609,10,"College, CEGEP or other non-university certificate or di...",NA,Very good,"Less than $25,000",0
2610,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Excellent,"$125,000 and more",1
2611,7,"College, CEGEP or other non-university certificate or di...",50.1 hours and more,Good,"Less than $25,000",1
2612,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",0
2613,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2614,8,High school diploma or a high school equivalency certificate,50.1 hours and more,Good,"$75,000 to $99,999",1
2615,8,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Very good,"$25,000 to $49,999",1
2616,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"$50,000 to $74,999",1
2617,9,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Very good,"Less than $25,000",2
2618,9,High school diploma or a high school equivalency certificate,50.1 hours and more,Excellent,"$125,000 and more",1
2619,10,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Excellent,"Less than $25,000",0
2620,7,"College, CEGEP or other non-university certificate or di...",40.1 to 50.0 hours,Excellent,"$50,000 to $74,999",1
2621,9,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
2622,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"Less than $25,000",1
2623,7,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2624,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"$50,000 to $74,999",1
2625,10,"College, CEGEP or other non-university certificate or di...",NA,Very good,"$50,000 to $74,999",2
2626,5,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Very good,"Less than $25,000",0
2627,6,"College, CEGEP or other non-university certificate or di...",NA,Fair,"Less than $25,000",0
2628,10,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",2
2629,8,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"Less than $25,000",0
2630,9,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
2631,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",1
2632,7,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",40.1 to 50.0 hours,Very good,"$50,000 to $74,999",1
2633,7,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
2634,10,"College, CEGEP or other non-university certificate or di...",NA,Excellent,"$25,000 to $49,999",1
2635,6,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Fair,"Less than $25,000",1
2636,NA,Less than high school diploma or its equivalent,NA,NA,"Less than $25,000",1
2637,7,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"$25,000 to $49,999",0
2638,9,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",0
2639,10,Trade certificate or diploma,NA,Good,"Less than $25,000",1
2640,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Fair,"$25,000 to $49,999",2
2641,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Good,"$50,000 to $74,999",0
2642,8,Less than high school diploma or its equivalent,30.0 to 40.0 hours,Good,"$50,000 to $74,999",1
2643,7,"College, CEGEP or other non-university certificate or di...",NA,Good,"$50,000 to $74,999",1
2644,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2645,10,Trade certificate or diploma,0.1 to 29.9 hours,Very good,"Less than $25,000",1
2646,7,Trade certificate or diploma,30.0 to 40.0 hours,Very good,"$100,000 to $ 124,999",2
2647,8,High school diploma or a high school equivalency certificate,NA,Good,"Less than $25,000",0
2648,8,High school diploma or a high school equivalency certificate,NA,Fair,"Less than $25,000",1
2649,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Very good,"Less than $25,000",1
2650,10,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",1
2651,8,Less than high school diploma or its equivalent,NA,Good,"Less than $25,000",1
2652,8,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",30.0 to 40.0 hours,Good,"$50,000 to $74,999",0
2653,10,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Good,"$50,000 to $74,999",2
2654,8,High school diploma or a high school equivalency certificate,NA,Excellent,"Less than $25,000",2
2655,8,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$25,000 to $49,999",1
2656,9,"University certificate, diploma or degree above the bach...",0.1 to 29.9 hours,Excellent,"$25,000 to $49,999",1
2657,9,"College, CEGEP or other non-university certificate or di...",0.1 to 29.9 hours,Good,"$25,000 to $49,999",0
2658,9,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",1
2659,7,Less than high school diploma or its equivalent,NA,Good,"$25,000 to $49,999",1
2660,0,University certificate or diploma below the bachelor's level,NA,Good,"Less than $25,000",0
2661,9,"Bachelor's degree (e.g. B.A., B.Sc., LL.B.)",NA,Good,"$25,000 to $49,999",2
2662,8,Less than high school diploma or its equivalent,NA,Very good,"Less than $25,000",0
2663,7,High school diploma or a high school equivalency certificate,NA,Very good,"Less than $25,000",0
2664,7,High school diploma or a high school equivalency certificate,0.1 to 29.9 hours,Good,"$25,000 to $49,999",2
2665,8,Less than high school diploma or its equivalent,0.1 to 29.9 hours,Very good,"Less than $25,000",0
2666,8,"University certificate, diploma or degree above the bach...",30.0 to 40.0 hours,Very good,"$50,000 to $74,999",0
2667,8,High school diploma or a high school equivalency certificate,30.0 to 40.0 hours,Excellent,"$25,000 to $49,999",0
2668,9,Less than high school diploma or its equivalent,NA,Excellent,"Less than $25,000",1
2669,7,University certificate or diploma below the bachelor's level,NA,Good,"$50,000 to $74,999",1
2670,6,"College, CEGEP or other non-university certificate or di...",30.0 to 40.0 hours,Good,"$75,000 to $99,999",0
